ean,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
7899852019178,Primer Facial Vult Matte  Nano HD 30ml,VULT,A Nossa Drogaria,38.29,38.29,0.0,"O Primer Facial Vult Nano HD Matte 30ml possui tecnologia Nano HD. Garante efeito Blur, pele uniforme, matificada e com acabamento aveludado. Disfarça"
7899852019390,Base Líquida Vult Nano HD V230 26g,VULT,A Nossa Drogaria,38.39,38.39,0.0,"Cobertura perfeita e de alta definição. Acabamento Matte, controle da oleosidade ao longo do dia e 8 horas de duração. Alta cobertura, disfarça poros,"
7899852019147,Corretivo Líquida Vult Nano V260 30g,VULT,A Nossa Drogaria,0.0,0.0,,Com tecnologia Nano HD: Cobertura inteligente e aparência de pele revigorada. Possui efeito matte Blur de alta definição e longa duração. Cobre imperf
7899852019406,Base Líquida Vult Nano HD V160 26g,VULT,A Nossa Drogaria,38.39,38.39,0.0,"Cobertura perfeita e de alta definição. Acabamento Matte, controle da oleosidade ao longo do dia e 8 horas de duração. Alta cobertura, disfarça poros,"
7899852019062,Base líquida Vult Nano HD V130 26g,VULT,A Nossa Drogaria,38.39,38.39,0.0,"Cobertura perfeita e de alta definição. Acabamento Matte, controle da oleosidade ao longo do dia e 8 horas de duração. Alta cobertura, disfarça poros,"
7896061913105,Sabonete em Barra Elite Hidratante 85g,ELITE,A Nossa Drogaria,2.89,3.76,23.13829787234042,"O novo sabonete em barra Elite Hidratante limpa, cuida e hidrata a sua pele profundamente. Sua fórmula oferece os cuidados necessários para que você e"
7896061913112,Sabonete em Barra Elite Antibacteriano 85g,ELITE,A Nossa Drogaria,2.89,3.76,23.13829787234042,"O novo sabonete em barra Elite Antibacteriano limpa, protege e hidrata a sua pele profundamente. Sua fórmula elimina até 99,9% das bactérias, oferecen"
7896112401667,Ferro 100mg com 30 Comprimidos Biolab,BIOLAB GENERICO,A Nossa Drogaria,53.99,60.83,11.24445175078086,O seu médico lhe receitou FERRO (ferripolimaltose) para tratar sua anemia por deficiência de ferro.
7896061913129,Sabonete em Barra Elite Relax 85g,ELITE,A Nossa Drogaria,2.89,3.76,23.13829787234042,"O novo sabonete em barra Elite Relax limpa, cuida e hidrata a sua pele profundamente. Sua fórmula oferece os cuidados necessários para que seu banho s"
4005900633293,Desodorante Aerosol Nivea Active Dry Comfort 200ml,NIVEA,A Nossa Drogaria,15.99,20.79,23.08802308802308,
4005900633309,Desodorante Aerosol Nivea Men Active Dry Impact 200ml,NIVEA,A Nossa Drogaria,15.99,20.79,23.08802308802308,
4005900105080,Desodorante Aerosol Nivea Men Invisible Black White 200ml,NIVEA,A Nossa Drogaria,15.99,20.79,23.08802308802308,
7899852024059,Blush Cremoso Vult Coleção Top Hits Rosa Pronto pro Combate 10ml,VULT,A Nossa Drogaria,26.99,26.99,0.0,
7509546668598,Sabonete em Barra Protex PRO Hidratação 80g,PROTEX,A Nossa Drogaria,3.99,5.19,23.121387283236995,
4005900921567,"Hidratante Labial Nivea Caring Beauty Nude 4,8g",NIVEA,A Nossa Drogaria,24.99,32.49,23.08402585410897,
4005900962058,Sérum Facial Nivea Cellular com Ácido Hialurônico 30ml,NIVEA,A Nossa Drogaria,126.79,126.79,0.0,Novo Sérum com Ácido Hialurônico que restaura a proteção natural da pele e oferece hidratação profunda.
4005900105073,Desodorante Aerosol Nivea Black White Invisible Clear 200ml,NIVEA,A Nossa Drogaria,15.99,20.79,23.08802308802308,
7509546673646,Kit Sabonete Barra Protex PRO Regeneração com 4 Unidades 80g Preço Especial,PROTEX,A Nossa Drogaria,22.99,29.89,23.084643693542994,
4005900921598,"Protetor Labial Nivea Lip Care Color Rosa Pink 4,8g",NIVEA,A Nossa Drogaria,24.99,32.49,23.08402585410897,"Protetor Labial Nivea Color Rosa Pink 4,8g Com fórmula livre de óleo mineral, NIVEA Hidra é enriquecido com manteiga de karité, óleo de amêndoas orgân"
4005900921581,"Protetor Labial Nivea Lip Care Hidra Color Violeta 4,8g",NIVEA,A Nossa Drogaria,24.99,32.49,23.08402585410897,
7896094211285,Clareador Facial CT- Amina Cisteamina 5% 30g,CT AMINA,A Nossa Drogaria,199.99,259.99,23.077810685026346,"Ct-Amina é um clareador facial noturno com Cisteamina 5% Com uma aplicação fácil e rápida, ele oferece versatilidade e segurança para ser usado de for"
7896083412228,Maracujá 320mg com 20 Comprimidos Herbarium,MARACUJA,A Nossa Drogaria,19.99,21.27,6.0178655383168795,"O Maracujá Herbarium é indicado no tratamento dos sintomas de ansiedade, insônia, estresse e irritabilidade. Ele ajuda a relaxar e a dormir melhor, de"
7896083412037,Alcachofra 400mg com 20 Comprimidos Herbarium,ALCACHOFRA,A Nossa Drogaria,34.79,34.85,0.17216642754663836,Indicada para facilitar a digestão e aliviar o desconforto abdominal e/ou para gases e náuseas resultantes da deficiência na produção e eliminação da 
4005900705143,Desodorante Aerosol Nivea Protect Care 200ml,NIVEA,A Nossa Drogaria,15.99,20.79,23.08802308802308,
7899706185912,Protetor Solar Facial La Roche Posay Anthelios Ultra Cover Cor 6.0 FPS60 30g,ANTHELIOS,A Nossa Drogaria,79.99,103.99,23.079142225213968,O PROTETOR SOLAR FACIAL ANTHELIOS ULTRA COVER FPS60 é o 1º protetor solar com performance de maquiagem que oferece muito alta proteção e 12h de cobert
7896083412235,Rinospray Baby Spray Nasal 100ml Herbarium,RINOSPRAY,A Nossa Drogaria,14.99,59.03,74.60613247501271,Sensação de alma lavada agora também para o seu bebê O Rinospray Baby é um fluidificante e descongestionante nasal de jato contínuo. Com bico/ aplicad
7899706185844,Protetor Solar Facial La Roche Posay Anthelios Ultra Cover Cor 3.0 FPS60 30g,ANTHELIOS,A Nossa Drogaria,79.99,103.99,23.079142225213968,O PROTETOR SOLAR FACIAL ANTHELIOS ULTRA COVER FPS60 é o 1º protetor solar com performance de maquiagem que oferece muito alta proteção e 12h de cobert
7899706185868,Protetor Solar Facial La Roche Posay Anthelios Ultra Cover Cor 4.0 FPS60 30g,ANTHELIOS,A Nossa Drogaria,79.99,103.99,23.079142225213968,O PROTETOR SOLAR FACIAL ANTHELIOS ULTRA COVER FPS60 é o 1º protetor solar com performance de maquiagem que oferece muito alta proteção e 12h de cobert
7509546668499,Sabonete em Barra Protex PRO Regeneração 80g,PROTEX,A Nossa Drogaria,3.99,5.19,23.121387283236995,
7899884218525,Shampoo Alta Moda Instant SOS Nutri-Reconstrutor 250ml,ALTAMODA,A Nossa Drogaria,23.89,23.89,0.0,
7896083412310,Hipersinus Spray Nasal 100ml Herbarium,HIPERSINUS,A Nossa Drogaria,65.29,65.33,0.06122761365374707,"Hipersinus é uma solução nasal de cloreto sódio - 3%. Fluidificante, descongestionante e umidificante nasal 1, ele possui a maior concentração hipertô"
7897042017799,Creme Tratamento Skala Vitamina C + Colágeno Vegetal 1k,SKALA,A Nossa Drogaria,7.99,10.39,23.09913378248316,
7896331706321,Protetor Solar Helioderm Suncare FPS30 Spray 200ml,HELIODERM,A Nossa Drogaria,32.99,55.29,40.332790739735934,
