URL,Preço sem desconto,Preço com desconto,% de desconto
https://www.farmaciarosario.com.br//enavo-8mg-10-comprimidos,"R$ 54,51","R$ 46,33", -15%
https://www.farmaciarosario.com.br//indosso-150mg-1comprimido,"R$ 73,19","R$ 62,50", -15%
https://www.farmaciarosario.com.br//floral-therapi-zero-angustia-30ml,"R$ 29,90","R$ 23,92", -20%
https://www.farmaciarosario.com.br//neovite-lutein-60comprimidos,"R$ 300,00","R$ 264,87", -12%
https://www.farmaciarosario.com.br//hidralyte-45-laranja-500ml,"R$ 23,68","R$ 14,59", -38%
https://www.farmaciarosario.com.br//suport-omega-3-kids-cereja-120capsulas-mastigavel,"R$ 30,00","R$ 30,00",
https://www.farmaciarosario.com.br//magnesia-bissurada-10-pastilhas,"R$ 10,51","R$ 10,37",
https://www.farmaciarosario.com.br//neutrofer-prev-suspensao-60ml,"R$ 78,29","R$ 68,90", -12%
https://www.farmaciarosario.com.br//fiasp-flex-touch-insulina-100u-ml-solucao-injetavel-3ml,"R$ 62,06","R$ 49,99", -19%
https://www.farmaciarosario.com.br//dramin-b6-30comprimidos,"R$ 24,29","R$ 21,31", -12%
https://www.farmaciarosario.com.br//quelatus-bari-30comprimidos,"R$ 72,90","R$ 67,90", -6.9%
https://www.farmaciarosario.com.br//floral-therapi-come-certo-30ml,"R$ 34,90","R$ 27,92", -20%
https://www.farmaciarosario.com.br//borg-cafeina-cartamo-e-vitamia-e-60capsulas,"R$ 79,90","R$ 62,75", -21%
https://www.farmaciarosario.com.br//adeforte-gotas-15ml,"R$ 95,18","R$ 85,66", -10%
https://www.farmaciarosario.com.br//lavitan-imunidade-cdzse-30-comprimidos,"R$ 54,90","R$ 45,08", -18%
https://www.farmaciarosario.com.br//gengimin-160mg-15-comprimidos,"R$ 44,58","R$ 39,23", -12%
https://www.farmaciarosario.com.br//risedross-35mg-4comprimidos,"R$ 74,03","R$ 52,32", -29%
https://www.farmaciarosario.com.br//kioto-super-vitaminas-e-minerais-imune-power-60-capsulas,"R$ 109,64","R$ 108,14",
https://www.farmaciarosario.com.br//maq-senior-30capsulas,"R$ 72,82","R$ 50,87", -30%
https://www.farmaciarosario.com.br//regenesis-pre-30-capsulas-moles,"R$ 98,90","R$ 98,90",
https://www.farmaciarosario.com.br//semble-fort-30capsulas,"R$ 129,90","R$ 113,01", -13%
https://www.farmaciarosario.com.br//vitasay-50-a-z-homem-cafeina-30-comprimidos,"R$ 69,94","R$ 61,55", -12%
https://www.farmaciarosario.com.br//lacto-purga-16comprimidos,"R$ 12,40","R$ 12,06",
https://www.farmaciarosario.com.br//eximia-fortalize-kera-d-30comprimidos,"R$ 149,32","R$ 141,85",
https://www.farmaciarosario.com.br//blumel-imune-kids-30gomas,"R$ 34,66","R$ 31,19", -10%
https://www.farmaciarosario.com.br//borg-polivitaminico-a-z-1000mg-60capsulas,"R$ 69,90","R$ 50,89", -27%
https://www.farmaciarosario.com.br//dramin-50mg-cartela-10capsulas-gel,"R$ 18,05","R$ 17,51",
https://www.farmaciarosario.com.br//vitamina-e-400ui-60capsulas,"R$ 67,90","R$ 59,90", -12%
https://www.farmaciarosario.com.br//levotiroxina-sodica-125mcg-30comprimidos,"R$ 14,36","R$ 8,28", -42%
https://www.farmaciarosario.com.br//complexo-b-100-comprimidos,"R$ 48,15","R$ 27,30", -43%
https://www.farmaciarosario.com.br//dprev-10-000ui-8-capsulas,"R$ 48,85","R$ 39,51", -19%
https://www.farmaciarosario.com.br//damater-30capsulas,"R$ 68,24","R$ 68,24",
https://www.farmaciarosario.com.br//centrum-energia-corpo-e-mente-60-comprimidos,"R$ 89,90","R$ 87,65",
