,sku,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
8160,9984660,Desodorante Antitranspirante Aerosol Rexona Men Clinical Clean 150ml,Clear,Drogal,21.25,21.25,0.0,Compre Shampoo Anticaspa Clear Men Queda Control 200ml com melhor preço e condição na farmácia online Drogal.
8161,9984867,Preservativo Prudence Efeito Retardante 8 Unidades,Prudence,Drogal,22.15,22.15,0.0,Compre Preservativo Prudence Efeito Retardante 8 Unidades com melhor preço e condição na farmácia online Drogal.
8162,4850042,Óleo capilar e Corporal Farmax Semente de Uva 100ml,Farmax,Drogal,10.55,10.55,0.0,"Óleo capilar e corporal Farmax semente de Uva foi desenvolvido especialmente para recuperar a hidratação dos cabelos e da pele, sua composição concentrada com óleo de semente de uva proporciona uma ação emoliente, hidrata e nutre a promovendo uma textura macia e suave."
8163,9986147,Roupa Íntima Bigfral Pants Premium G/XG 16 Unidades,Bigfral,Drogal,62.55,62.55,0.0,Compre Roupa Íntima Bigfral Pants Premium G/XG 16 Unidades com melhor preço e condição na farmácia online Drogal.
8164,9982084,Absorvente Always Suave Com Abas Tamanho P 32 Unidades,Always,Drogal,19.89,19.89,0.0,Compre Absorvente Always Suave Com Abas Tamanho P 32 Unidades com melhor preço e condição na farmácia online Drogal.
8165,9990415,Sabonete Líquido Refil Palmolive Nutri-Milk Hidratante 200ml,Palmolive,Drogal,6.95,6.95,0.0,O sabonete líquido refil Palmolive Nutri Milk devolve a hidratação natural da sua pele diariamente. Na Drogal você encontra os melhores produtos de higiene pessoal.
8166,9991697,Água Oxigenada Nexter Cremosa 40v 90ml,Nexter,Drogal,5.65,5.65,0.0,A Água Oxigenada Nexter Cremosa 40v oferece desde a limpeza de ferimentos até descoloração de pelos e cabelos. Na farmácia online da Drogal você encontra os melhores produtos.
8167,9985236,Protetor Diário Intimus Tecnologia Antibacteriana 80 Unidades,Intimus,Drogal,23.99,23.99,0.0,Compre Protetor Diário Intimus Tecnologia Antibacteriana 80 Unidades com melhor preço e condição na farmácia online Drogal.
8168,9983994,Hidratante Intravaginal Lynax 30g + 10 Aplicadores Descartáveis,Lynax,Drogal,89.63,89.63,0.0,Compre Hidratante Intravaginal Lynax 30g + 10 Aplicadores Descartáveis com melhor preço e condição na farmácia online Drogal.
8169,9993399,Escova Dental Colgate Classic Clean 3 Unidades,Colgate,Drogal,10.45,10.45,0.0,Compre Escova Dental Colgate Classic Clean 3 Unidades com melhor preço e condição na farmácia online Drogal.
8170,9996329,Corega Tabs Limpeza 3 Minutos 6 Pastilhas Efervescentes,Dove Men,Drogal,24.65,24.65,0.0,Compre Antitranspirante Aerossol Dove Men+Care Proteção Total 250ml com melhor preço e condição na farmácia online Drogal.
8171,9993534,Antitranspirante Aerossol Dove Men+Care Proteção Total 250ml,Corega,Drogal,8.39,8.39,0.0,Compre Corega Tabs Limpeza 3 Minutos 6 Pastilhas Efervescentes com melhor preço e condição na farmácia online Drogal.
8172,6330029,Polvilho Antisséptico em pó Granado 100g,Granado,Drogal,14.6,14.6,0.0,Compre Polvilho Antisséptico em pó Granado 100g com melhor preço e condição na farmácia online Drogal.
