url,preco com desconto,preco sem desconto
https://www.santoremedio.com.br/chupeta-mam-skin-soft-air-6m-menina-flor-com-caixinha-1un,"R$ 39,99","R$ 39,99"
https://www.santoremedio.com.br/chupeta-elegance-plus-orto-rosa-kuka,"R$ 26,99","R$ 26,99"
https://www.santoremedio.com.br/chup-soothies-0-3m-meninos-dup-azul-avt,"R$ 78,99","R$ 78,99"
https://www.santoremedio.com.br/chup-ultra-soft-0-6m-branca-avt,"R$ 43,99","R$ 43,99"
https://www.santoremedio.com.br/chup-nuk-genius-silic-boy-s2,"R$ 38,99","R$ 38,99"
https://www.santoremedio.com.br/chup-sil-soft-comf-b-red-azul-kuk,"R$ 22,99","R$ 22,99"
https://www.santoremedio.com.br/chup-sil-soft-comf-b-red-rosa-kuk,"R$ 22,99","R$ 22,99"
https://www.santoremedio.com.br/chupeta-kuka-color-ortodontica-decorada-n1,"R$ 17,99","R$ 17,99"
https://www.santoremedio.com.br/chupeta-de-silicone-ortodontica-soft-kuka-no1-embalagem-1-un,"R$ 21,99","R$ 21,99"
https://www.santoremedio.com.br/chup-nuk-space-silic-boy-s2,"R$ 36,99","R$ 36,99"
https://www.santoremedio.com.br/chup-soothies-0-3m-meninas-dup-rosa-avt,"R$ 78,99","R$ 78,99"
https://www.santoremedio.com.br/chupeta-neopan-no2-cristal,"R$ 9,99","R$ 9,99"
https://www.santoremedio.com.br/chup-criativa-conv-n-1-rosa-nep,"R$ 10,99","R$ 10,99"
https://www.santoremedio.com.br/chup-decor-universal-n-1-azul-nep,"R$ 9,79","R$ 9,79"
https://www.santoremedio.com.br/chupeta-neopan-universal-tamanho-1-rosa-embalagem-1-un,"R$ 9,79","R$ 9,79"
https://www.santoremedio.com.br/chup-convencional-n-2-rosa-nep,"R$ 6,36","R$ 6,36"
https://www.santoremedio.com.br/chup-ultra-air-18-m-meninas-dup-avt,"R$ 75,99","R$ 75,99"
https://www.santoremedio.com.br/chupeta-elegance-plus-orto-azul-kuka,"R$ 26,99","R$ 26,99"
https://www.santoremedio.com.br/chupeta-comfort-noturna-tamanho-2-buba,"R$ 11,34","R$ 18,90"
https://www.santoremedio.com.br/chup-mam-original-trends-0-6-rosa-1un,"R$ 33,99","R$ 33,99"
https://www.santoremedio.com.br/chup-lillo-funny-orto-t1-azul-menino,"R$ 10,17","R$ 12,99"
https://www.santoremedio.com.br/chup-mam-air-6-sapinho-verd-azul-1un,"R$ 37,99","R$ 37,99"
https://www.santoremedio.com.br/chup-soothies-0-3m-neutra-avt,"R$ 48,99","R$ 48,99"
https://www.santoremedio.com.br/chup-ultra-air-18m-meninos-dup,"R$ 75,99","R$ 75,99"
https://www.santoremedio.com.br/kit-bonecas-sorvete,"R$ 23,99","R$ 23,99"
https://www.santoremedio.com.br/carro-basic-sortidos-mattel-hot-wheels,"R$ 18,99","R$ 18,99"
https://www.santoremedio.com.br/pelucia-patrick-multikids-35cm-un,"R$ 94,99","R$ 94,99"
https://www.santoremedio.com.br/flat-ball-air-soccer,"R$ 54,99","R$ 54,99"
https://www.santoremedio.com.br/briliantina-trap-box-mkd,"R$ 34,99","R$ 34,99"
https://www.santoremedio.com.br/carrinho-fast-furious-5x1-hotwheels,"R$ 109,19","R$ 109,19"
https://www.santoremedio.com.br/meu-primeiro-controle,"R$ 64,99","R$ 64,99"
https://www.santoremedio.com.br/pelucia-o-show-da-luna-jupiter,"R$ 60,99","R$ 60,99"
https://www.santoremedio.com.br/mordedor-buba-c-agua-maozinha-sort,"R$ 16,25","R$ 16,25"
https://www.santoremedio.com.br/mordedor-buba-de-agua-cavalinho,"R$ 10,99","R$ 10,99"
https://www.santoremedio.com.br/massageador-facial-pedra-jade-ecotools-un,"R$ 106,99","R$ 106,99"
https://www.santoremedio.com.br/fralda-huggies-tripla-protecao-xxg-32-unidades,"R$ 24,99","R$ 24,99"
https://www.santoremedio.com.br/copo-educativo-decor-verde-160ml,"R$ 10,99","R$ 10,99"
https://www.santoremedio.com.br/copo-nuk-mini-magic-cup-360-girl-c-160ml,"R$ 49,99","R$ 49,99"
https://www.santoremedio.com.br/cereal-infantil-de-arroz-e-aveia-integral-mucilon-180g,"R$ 7,99","R$ 7,99"
https://www.santoremedio.com.br/cereal-infantil-multicereais-mucilon-180g,"R$ 6,89","R$ 6,89"
https://www.santoremedio.com.br/oleo-patru-cani-amendoas-c-120ml-crm,"R$ 14,99","R$ 14,99"
https://www.santoremedio.com.br/sab-liq-patru-cani-c-200ml-crm,"R$ 9,99","R$ 9,99"
https://www.santoremedio.com.br/comp-lacteo-inf-piracanjuba-excelle-800g,"R$ 40,99","R$ 53,99"
https://www.santoremedio.com.br/fralda-huggies-tripla-protecao-jumbo-p-32un,"R$ 52,99","R$ 52,99"
https://www.santoremedio.com.br/prato-tramontina-baby-friends-amarelo-pp,"R$ 34,99","R$ 34,99"
