productName,brand,link,description,skuId,ean,Price,ListPrice,PriceWithoutDiscount,IsAvailable
Antisséptico Tópico Merthiolate Spray 30ml,Merthiolate,https://www.drogariasaopaulo.com.br/antisseptico-topico-merthiolate-spray-30ml/p,"Merthiolate é indicado na limpeza da pele de pequenos ferimentos e arranhões. Por ter ação específica sobre as bactérias, Merthiolate dificulta a sua proliferação, além de possuir a propriedade de matar bactérias (bactericida). Esse produto é ideal para fazer parte da cesta de primeiros socorros.",716871,7896094917354,25.99,25.99,25.99,true
"Dutam 0,5+0,4mg Zodiac 30 Cápsulas",Zodiac,https://www.drogariasaopaulo.com.br/dutam-30-capsulas-duras-de-liberacao-prolongada-zodiac/p,"Como age o Dutam?\r\n Este medicamento é uma combinação de dois fármacos com mecanismos de ações complementares para tratar os sintomas de pacientes com HPB: dutasterida, um inibidor duplo da 5 a-redutase (5-ARI) e cloridrato de tansulosina, um antagonista dos a1a-adrenoreceptores.\r\n \r\n Indicações\r\n Trata e previne a progressão da Hiperplasia Prostática Benigna (HPB), através do alívio dos sintomas, reduzindo o tamanho (volume) da próstata, melhorando o fluxo urinário e reduzindo o risco de retenção urinária aguda (RUA) e a necessidade de cirurgia relacionada à HPB.\r\n \r\n Contraindicações\r\n Contraindicado em pacientes com hipersensibilidade conhecida a dutasterida, cloridrato de tansulosina, outros inibidores de 5- alfa redutase ou qualquer componente da fórmula. Este medicamento é contraindicado para uso por mulheres e crianças.",649015,7892953003558,100.99,116.89,100.99,true
Nactali 75mcg 84 Comprimidos Revestidos,Libbs,https://www.drogariasaopaulo.com.br/nactali-75mcg-3x28-comprimidos-revestidos/p,"Nactali é um contraceptivo hormonal progestagénico, sendo constituído pela hormona sintética desogestrel (75 mcg de desogestrel).",423432,7896094208124,103.99,123.59,103.99,true
Torsilax Neo Química 12 Comprimidos,Neo Química,https://www.drogariasaopaulo.com.br/torsilax-12-comprimidos/p,"Torsilax Neo Química 12 Comprimidos  apresenta uma composição relaxante muscular, anti-inflamatória e analgésica (ação contra a dor), indicada no tratamento do reumatismo, o qual em geral, está associado a queixas como a dor e sinais inflamatórios como inchaço, calor local e eventual limitação de mobilidade. TORSILAX® por ter em sua composição uma associação de medicamentos irá agir da seguinte forma: o carisoprodol é um relaxante muscular, que reduz indiretamente a tensão da musculatura esquelética em seres humanos.",322458,7896714218267,10.99,11.53,10.99,true
Dramin B6 25mg/5mg Hypera 30ml,Hypera Pharma,https://www.drogariasaopaulo.com.br/dramin-b6-25mg5mg-takeda-30ml/p,"Medicamento versátil que ajuda a tratar diversos tipos de males à saúde, auxilia principalmente no combate aos sintomas de enjoo, tontura e vômitos em geral. Possui em sua composição a vitamina B6, que participa da síntese de algumas substâncias cerebrais importantes, atuando em áreas do sistema nervoso central responsáveis pela ocorrência de náuseas e vômitos. O Dramin B6 25mg/5mg Takeda 30ml tem início de ação geralmente entre 15 e 30 minutos após sua ingestão, tendo duração do efeito média de 4 a 6 horas.",281840,7896094922075,21.79,23.17,21.79,true
Atorvastatina 20mg Genérico EMS 30 Cápsulas,EMS,https://www.drogariasaopaulo.com.br/atorvastatina-20mg-generico-ems-30-capsulas/p,"Elaborado pela EMS, este medicamento foi formulado para atuar no tratamento de vários tipos de disfunções associadas ao sangue, como: aumento da quantidade de colesterol, aumento dos níveis sanguíneos de outro tipo de gordura e redução dos níveis sanguíneos de HDL. Seu funcionamento é através da inibição da produção do colesterol pelo fígado e aumento da absorção e destruição de frações prejudiciais do colesterol. Com a Atorvastatina 20mg Genérico EMS 30 Cápsulas, o cuidado com a saúde vem em primeiro lugar.",281220,7896004729435,26.09,74.15,26.09,true
"Rinosoro Sic 0,9% Spray 50ml",Mantecorp Skincare,https://www.drogariasaopaulo.com.br/rinosoro-sic-spray-9-0mg-50ml/p,"O Rinosoro Spray é uma solução nasal estéril isenta de conservante destinada como fluidificante, descongestionante e umidificante nasal. Auxilia no tratamento de outras patologias respiratórias tais como rinite alérgica, rinossinusite, sinusite, gotejamento pós-nasal e pós-operatório de cirurgia rinossinusal. Rinosoro age diluindo a secreção nasal, favorecendo, portanto a eliminação do muco. Ele é utilizado como diluente das secreções nasais nos resfriados, rinites e em quaisquer outras condições relacionadas ao ressecamento da mucosa nasal, como baixa umidade do ar, ar condicionado e poluição.",152684,7897322704593,22.99,32.6,22.99,true
Pietra ED 2mg Eurofarma 90 Comprimidos Revestidos,Eurofarma,https://www.drogariasaopaulo.com.br/pietra-ed-2mg-eurofarma-90-comprimidos-revestidos/p,Pietra ED 2mg Eurofarma 90 Comprimidos Revestidos,768537,7891317020651,127.0,155.92,127.0,true
Escova de Dente Infantil Bitufo Cocoricó Grandinhos Ultramacia para 2 a 5 anos 1 Unidade,Bitufo,https://www.drogariasaopaulo.com.br/escova-de-dente-infantil-bitufo-cocorico-extra-macia-4-a-24-meses-1-unidade/p,"Escova de Dente Infantil Bitufo Cocoricó Grandinhos foi especialmente desenvolvida para as crianças entre 2 a 5 anos. Ela tem a cabeça pequena, cerdas ultramacias arredondadas e cabo anatômico.\nAtenção: esse produto possui as cores sortidas e a escolha é feita aleatoriamente no momento do envio do pedido. Disponível em amarelo e branco; rosa e branco e azul e branco.",754323,7896114312879,12.99,12.99,12.99,true
Kit Repelente Ever Care Loção Deet 200ml,Ever Care,https://www.drogariasaopaulo.com.br/kit-repelente-ever-care-locao-deet-200ml/p,Kit Repelente Ever Care Loção Deet 200ml,749737,7908271302676,29.99,29.99,29.99,true
