,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
207,PROTETOR SOLAR ISDIN FPS99 ACTIVE UNIFY COLOR 50M 8581*,ISDIN,,"R$ 136,90",4768921,92387
208,ANTHELIOS FPS70 XL CORPO 120ML 4231,LOREAL BR- DIV DCA LA ROCHE,,"R$ 103,90",4768922,92379
209,ANTHELIOS PROTETOR SOLAR DERMO-PEDIATRICS INFANTIL FPS6...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 124,90",4768889,67080
210,ANTHELIOS PROTETOR SOLAR FPS50 AE PIGMENTATION COR CLAR...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 96,40",9992053,104775
211,AVENE SAB CLEANANCE INTENSE GEL DE LIMPEZA PROFUNDA 60G,AVENE,,"R$ 50,90",3866105,98755
212,Kit Protetor Solar Corporal Nivea Sun Protect & Hidrata...,BDF NIVEA-SOLAR,"R$ 58,90","R$ 51,90",9993849,106518
213,PROTETOR SOLAR FACIAL VICHY UV AGE DAILY FPS60 3EM1 N.2...,LOREAL BR- DIV DCA VICHY,,"R$ 100,79",4769913,67081
214,ANTHELIOS FPS50 BB CREAM 40G,LOREAL BR- DIV DCA LA ROCHE,,"R$ 96,90",4944202,83718
215,LAKESIA ANTIMICOTICO 30ML,GENOMMA PERFUMARIA,,"R$ 46,90",9991848,104572
216,PROTETOR SOLAR FACIAL ACTINE DARROW FPS80 UNIVERSAL 40G...,DARROW,,"R$ 89,90",4766108,99216
217,PROTETOR SOLAR FACIAL ANTHELIOS FPS60 XL PROTECT 40G,LOREAL BR- DIV DCA LA ROCHE,,"R$ 79,90",4766540,92386
218,PROTETOR SOLAR FACIAL ANTHELIOS FPS70 PROTECT 200ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 119,90",,
