,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
51,FISIOGEL LOCAO A.I 100ML,MEGALABS FARMACEUTICA DERMO,,"R$ 132,90",4768697,95227
52,LA ROCHE EFFACLAR SABONETE CONCENTRADO 70GR,LOREAL BR- DIV DCA LA ROCHE,,"R$ 52,90",4769937,96576
53,LA ROCHE HYALU B5 REPAIR SERUM ANTI-IDADE 30ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 256,90",585001,88927
54,SKINCEUTICALS C E FERULIC 15ML 0491,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 370,75",498812,88109
55,ACTINE SAB BARRA 80GR 1411,DARROW,,"R$ 37,99",4769577,99097
56,CERAVE GEL DE LIMPEZA FACIAL 454G,LOREAL BR- DIV DCA LA ROCHE,,"R$ 99,90",4769954,98269
57,CERAVE LOÇAO HIDRATANTE SEM PERFUME PELE SECA A EXTRA S...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 101,68",253101,68497
58,CETAPHIL CREME HIDRATANTE CORPO PELE SECA E SENSIVEL 45...,CETAPHIL,,"R$ 114,90",9990841,103520
59,DERSANI 200ML LV3 PG2,MEGALABS FARMACEUTICA SA-OTC,,"R$ 199,80",9993077,105118
60,GEL HIDRATANTE CORPO NEUTROGENA HYDRO BOOST WATER 400ML,NEUTROGENA,"R$ 62,99","R$ 45,90",4769945,97742
61,LA ROCHE EFFACLAR BB BLUR CLARA UNIFICADOR 20ML,LOREAL BR- DIV DCA LA ROCHE,"R$ 147,90","R$ 135,90",9992126,104848
62,LA ROCHE EFFACLAR GEL DE LIMPEZA FACIAL ALTA TOLERANCIA...,LA ROCHE - POSAY,,"R$ 98,90",9990710,103389
63,LOC HIDR CORPORAL THERASKIN KLAVIE CLINICAL 390ML,THERASKIN,,"R$ 69,90",3309918,97312
64,NEUTROGENA ESFOLIANTE FACIAL PURIFIED SKIN 100G,JOHNSON & JOHNSON-HIGIENE,,"R$ 58,40",4299903,98215
65,SERUM CLAREADOR THERASKIN KLASSIS TX+PUMP 30GR,THERASKIN,"R$ 179,00","R$ 159,90",9991203,103889
66,SERUM FACIAL SKINCEUTICALS BLEMISH + AGE DEFENSE 15ML,LOREAL,,"R$ 219,90",7094904,88930
67,SKINCEUTICALS GEL DE LIMPEZA BLEMISH+AGE CLESING 120G,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 100,90",6839905,88929
68,SKINCEUTICALS SERUM DISCOL DEF 30ML 6912,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 299,90",4764970,97093
69,SKINCEUTICALS UV OIL DEFENSE FPS80 40G,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 126,90",2048401,66502
70,ACNASE CREME 25GR,BIOLAB,,"R$ 49,89",4778801,67419
71,AGUA THERMAL AVENE 150ML,LABORATORIO PIERRE FABRE,,"R$ 112,90",4388819,93497
72,AGUA THERMAL AVENE 50ML,LABORATORIO PIERRE FABRE,,"R$ 84,90",4388804,67433
73,AVENE LOCAO HIDRATANTE TRIXERA NUTRI-FLUIDA 200ML,LABORATORIO PIERRE FABRE,,"R$ 72,90",4769963,98984
74,CERAVE CREME HIDRATANTE CORPORAL SEM PERFUME PELE SECA ...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 79,90",255160,96173
75,CETAPHIL LOCAO HIDRATANTE ADVANCED MOIST 473GR 6067,GALDERMA BRASIL-DERMO,,"R$ 110,49",7429904,93781
76,CETAPHIL SAB LIQ RESTORAD 295ML,GALDERMA BRASIL-DERMO,,"R$ 105,90",8038901,95489
77,CREME FACIAL REVITALIFT LASER 3X NOTURNO 50ML,LOREAL BR- DIV DPGP CAPILAR,,"R$ 81,90",4410601,82026
78,EXIMIA FORTALIZE 30CPR,FARMOQUIMICA,,"R$ 153,90",9991959,104681
79,GEL CLEANANCE AVENE LIMPEZA PURIFICANTE 300ML,AVENE,,"R$ 95,90",4299586,83686
80,Gel-Creme Profuse Nutrel Suavizante Balm 50g,ACHE,,"R$ 71,90",1258939,96853
81,KLASSIS EMULGEL CLAREADOR FPS20 30G,THERASKIN,,"R$ 206,00",4769565,83722
82,KLAVIE CLINICAL LOC HIDRATANTE 190ML,THERASKIN,,"R$ 46,99",4769943,97177
83,LA ROCHE AGUA TERMAL 150G,LOREAL BR- DIV DCA LA ROCHE,,"R$ 117,90",4768671,97095
84,LA ROCHE DES AERO INNOVATION 150ML 2141,LOREAL BR- DIV DCA LA ROCHE,,"R$ 117,90",4769905,83729
85,LA ROCHE EFFACLAR DUO+ CREME ANTI-IMPERFEIÇOES 40ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 178,90",4769962,98927
86,LA ROCHE EFFACLAR GEL DE LIMPEZA PROFUNDA CONCENTRADO 1...,LOREAL BR- DIV DCA LA ROCHE,"R$ 75,99","R$ 69,90",4768695,83732
87,LA ROCHE EFFACLAR GEL DE LIMPEZA PROFUNDA CONCENTRADO 3...,LOREAL BR- DIV DCA LA ROCHE,"R$ 94,95","R$ 89,90",4769902,83733
88,LA ROCHE EFFACLAR GEL DE LIMPEZA SUAVE ALTA TOLERANCIA ...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 50,54",4768701,96575
89,LA ROCHE EFFACLAR MAT HIDRATANTE FACIAL 40ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 236,90",4769919,83748
90,LA ROCHE EFFACLAR SABONETE ALTA TOLERANCIA 70G,LOREAL BR- DIV DCA LA ROCHE,,"R$ 46,40",4769910,83750
91,LA ROCHE LIPIKAR BAUME AP+M 400ML,LOREAL BR- DIV DCA LA ROCHE,,"R$ 222,07",5238826,95961
92,LA ROCHE LIPIKAR LOÇAO HIDRATANTE INTENSIVO CORPORAL 40...,LOREAL BR- DIV DCA LA ROCHE,,"R$ 159,90",250260,85959
93,NEUTROGENA HIDRATANTE CORPO NORWEGIAN SEM FRAGRANCIA 50...,JOHNSON & JOHNSON-HIGIENE,,"R$ 99,90",7098631,98531
94,NUTRAPLUS 10% LOCAO 120ML,GALDERMA,,"R$ 88,07",499908,97167
95,PROTETOR SOLAR REVITALIFT HIALURONICO DIURNO FPS20,LOREAL BR- DIV DPGP CAPILAR,"R$ 59,90","R$ 49,90",9991114,103799
96,Sabonete Liquido Darrow Actine Pele Acneica 400ml,DARROW,,"R$ 96,90",7094913,91024
97,SERUM ANTI-IDADE THERASKIN EURYALE C 50G,THERASKIN,"R$ 227,00","R$ 145,99",7094907,88926
98,SKINCEUTICALS AGE EYE COMPLEX 15ML 8209,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 684,20",586101,101578
99,SKINCEUTICALS BLEMISH+AGE DEF 30ML 5504,LOREAL BR- DIV DCA SKINCEUTICA,,"R$ 299,90",589901,88934
