farmacia,cidade,nome,preco_com_desconto,preco_sem_desconto,desconto,marca,ean,descricao
Época Cosméticos,São Paulo,Pó Descolorante Yamá - Perolado,7.2,7.9,0.08860759493670887,Yamá Cosméticos,7896150019497,"A linha de Pós descolorantes da Yamá Cosméticos acaba de ganhar duas novas variantes para tons loiros desenvolvidas especialmente para processos de descoloração que buscam atingir tonalidades peroladas e platinadas. Com alto poder de clareamento, o Pó Descolorantes Perolado é capaz de atingir abertura de até 9 tons em uma ação segura e eficaz. Possui exclusivo pó azul e promove ação eficaz, sem perfume e dust free -que não levanta pó.Cuidados:Contém Amônia. Contém substâncias passíveis de causar irritações na pele ou alergias em determinadas pessoas. Antes de usar, faça a Prova de Toque e de Mechas. Não usar nos cílios ou sobrancelhas, pode causar irritações ou cegueira. Caso haja contato com os olhos lave-os com água em abundância. Não recomendamos o uso por gestantes ou crianças. Mantenha fora do alcance das crianças. Não aplicar no couro cabeludo se apresentar irritações ou lesões. Este produto deve ser usado para o fim a que se destina sendo PERIGOSO qualquer outro emprego. Dependendo da cor base, será necessário o reprocesso para a abertura de 9 tons.A Marca: A força de um jovem para ajudar a sua família. Aos 15 anos de idade, o Sr. Paulo Kazuo Yamamura, folho de imigrantes japoneses, entrou em uma escola de cabeleireiro para aprender o ofício e ajudar a sustentar a sua casa. E em pouco tempo, a conseguiu abrir um salão de beleza que logo passou a fazer sucesso. Que se transformou em um sonho e virou realidade. Já como um renomado cabeleireiro na época, o Sr. Paulo começou a fabricar seus próprios xampus e um creme para cabelos, enxergando a falta de produtos bons no mercado. O sucesso foi tanto, que até os outros cabeleireiros passaram a comprar o produto dele. E foi aí que, em 1967, surgiu a Yamá Cosméticos, com um dos produtos que mais faz sucesso até hoje e é queridinho de muitas consumidoras: o Yamasterol."
Época Cosméticos,São Paulo,L'Oréal Paris Coloração Imédia Excellence 1 Preto Kit - 3 Unidades,93.9,98.97,0.05122764474083048,Imédia Excellence,2500000533181,"O kit contém:3 Coloração Imédia Excellence L'Oréal Paris - 1 PretoImédia Excellence é a coloração permanente de L'Oréal Paris que com a sua tripla proteção, restaura enquanto colore a fibra capilar. Coloração com triplo cuidado e 100% de cobertura dos brancos. Imédia Excellence restaura enquanto colore pois é enriquecida com ativos conhecidos por seu poder reparados. Com Ionene G, Pro-Keratina e Ceramida restaura, fortalece e protege seu cabelo para melhor receber a cor. Um cuidado mais poderoso, cor mais poderosa. Indicação:Indicado para todos os tipos de cabelo, leia a bula e faça o teste alergênico antes de usar.Modo de uso:•	Coloque a tinta no frasco aplicador e agite bem até ficar homogêneo. •	Separe o cabelo e aplique da raiz as pontas e espalhe uniformemente em todo o cabelo (aplique a tinta com o cabelo seco). •	Retire o produto após 35 ou 40 minutos da aplicação.•	Para cabelo curto usar somente 1 Caixinha, para cabelo longo utilizar 2 caixinhas. •	Siga as instruções e precauções de uso no folheto contido no kit.Sobre a marca:L'Oréal é uma empresa multinacional francesa de cosméticos com sede em Clichy. Fundada por em 1909 por Eugène Schueller, é especializada em produtos para cabelos (xampus e colorações), perfumes, protetores solares e produtos dermatológicos."
Época Cosméticos,São Paulo,Máscara Reparadora Capilar Granado - Castanha do Brasil - 300g,65.7,73.0,0.09999999999999996,Granado,7896512933089,"A Máscara Reparadora Capilar Castanha do Brasil de Granado recupera a emoliência do cabelo enquanto nutre e restaura os danos sofridos. Além de possuir ação antifrizz, essa máscara reduz o volume dos fios e melhora a aparência das pontas duplas.Benefícios: •	Hidratação profunda dos fios. •	Condiciona, amacia e confere brilho intenso. •	Efeito antifrizz. •	Enriquecida com glicerina vegetal, silicone e óleo natural de castanha do Brasil. •	Perfumação prolongada. •	Fórmula biodegradável. •	Livre de parabenos, corantes e ingredientes de origem animal.				Modo de Usar: •	Aplicar a Máscara Reparadora Capilar nos cabelos úmidos após o uso do Shampoo e Condicionador Castanha do Brasil. •	Deixar agir por 3 minutos e enxaguar. •	Para um resultado mais potente, usar uma touca térmica durante 15 minutos.	Sobre a Marca: Pioneira na fabricação de sabonetes vegetais, a Granado | Phebo é responsável pela maior produção do Brasil, e atravessa seus mais de 100 anos de existência com uma definida posição em relação à preservação do meio ambiente: desenvolver cosméticos formulados com extratos naturais, livres de corantes e de fragrâncias artificiais. Nenhum produto Granado é testado em animais.A busca por produtos cada vez mais naturais é um dos desafios da Empresa. Por isso, a Granado | Phebo pretende continuar a crescer em parceria com a natureza e, acima de tudo, oferecer produtos de qualidade e com eficácia comprovada, a fim de promover bem-estar e equilíbrio entre o corpo e a mente."
Época Cosméticos,São Paulo,Pincel Leque Curvex Merheje - 1 Un,12.9,13.9,0.07194244604316546,Merheje,7896075712381,"O Pincel Leque Curvex é um novo conceito em acessórios para cuidados pessoais, combinado com designe exclusivo, tecnologia de ponta, ergonomia e eficiência a linha Curvex volta repaginada com um ar “retrô-moderno”. Um produto de extrema qualidade, conforto oferecendo resultados incríveis para você.Benefícios:- Custo e qualidade- Cerdas maciasComposição:Plástico e nylonComo usar:Este pincel pode ser utilizado para garantir a finalização de sua maquiagem, eliminado os resíduos de pó, blush e sombra. Para limpar o pincel lave as cerdas uma vez ao mês com água fria e shampoo neutro.Sobre a Marca:Há 68 anos, a Merheje vem criando, inovando e produzindo acessórios diversos para seus cuidados pessoais. Investindo em tecnologia, moda, cores, formas e temas diversos, a Merheje proporciona a seus produtos funcionalidade, ergonomia, modernidade, higiene e segurança. O portfólio variado visa atender a vários tipos de públicos, sejam homens ou mulheres, bebês, teens ou adultos."
Época Cosméticos,São Paulo,Máquina de Corte Wahl - Clipper Color Pro,379.9,0.0,,Wahl,7899934701175,"A Máquina de Corte de Cabelo Color Pro de Wahl é uma máquina de corte que possui lâminas de alta precisão e autoafiáveis que permanecem afiadas por mais tempo, proporcionado um melhor desempenho na realização do corte. Máquina de corte com motor potente para toda a família. Benefícios: •	Motor semiprofissional com 35% a mais de poder de corte.•	Alavanca de regulagem de comprimento.•	Inclui estojo de armazenamentoNo corpo da máquina possui um guia de pentes codificados por cores, oferecendo uma identificação rápida ao selecionar o pente guia que você precisa e assim acertar todas as vezes! Dentro do conjunto de pentes, se encontram os pentes especiais que são para orelha direita e a esquerda, direcionados especificamente para acabamentos. Dessa forma facilita na hora do corte e proporcionam melhores resultados. Inclui estojo de armazenamento , oferecendo mais segurança para a Color Pro e auxilia na organização de todos os acessórios. Acessórios: •	Inclui 8 pentes graduadores•	(3mm, 6mm, 10mm, 13mm, 16mm,19mm, 22mm e 25mm);•	Tesoura;•	2 pentes; •	Protetor de Lâmina;•	Estojo;•	Óleo Lubrificante;•	Pincel de Limpeza."
Época Cosméticos,São Paulo,Creme para Massagem Hidramais Fluido LipoDetox - 250ml,42.7,49.9,0.14428857715430854,Hidramais,7896369162533,"O Fluido LipoDetox vem para completar a linha DETOX da Hidramais Profissional, sendo mais uma opção de produtos para você transformar medidas a mais em centímetros a menos. Com uma concentração de cafeína 4x maior que o creme sua fórmula combina extratos de Laranja Amarga, ativo que auxilia no processo da lipólise melhorando a permeação dos ativos lipolíticos e a circulação. Óleo de Café Verde, que possui alta concentração de ácidos graxos e linoleicos que garantem resultados mais eficientes; e Cafeína Pura, que combate a flacidez, reduz inchaço e retenção de líquidos, ajudando na quebra da gordura localizada. Ativos:Cafeína Pura, Laranja Amarga e Óleo de Café´ Verde.Benefi´cios:Ação desintoxicante, auxilia o processo de lipólise, melhora a circulação e reduz as celulites e flacidez.Modo de usar: Aplique o produto na pele e massageie ate´ a sua completa absorção.Informações importantes:Caso apareça alguma irritação, suspenda imediatamente o uso. Na~o use sobre a pele lesionada ou irritada; em contato com os olhos, lave com água corrente. E mantenha fora do alcance de crianças."
Época Cosméticos,São Paulo,Escova de Madeira Belliz - Profissional Térmica Média - 1 Un,54.99,0.0,,Belliz,7897517904661,"A  Escova de Madeira Profissional Térmica Média da marca Belliz possui cerdas naturais de javali combinadas com pinos de nailon que permitem a tração ideal para alisamento. Base de alumínio que retém e distribui o calor do secador com mais rapidez.Indicado:• Alisar o cabelo• Todos os tipos de cabelo de tamanho médioMaterial:MadeiraModo de Usar:Separe o cabelo em mechas e com movimentos circulares de dentro para fora enrole e deslize a escova até as pontas. Recomenda-se deixar o secador a uma distância de 3cm das cerdas evitando danificá-las precocemente.A Marca:Belliz é a marca da Belliz Company que traz moda e tendência em acessórios de beleza, para mulheres vaidosas e autoconfiantes. Possui a linha completa de acessórios de maquiagem, escovas de cabelo e unhas, entre outros. Itens desenvolvidos com toque de glamour e elegância, traduzidos em estampas e detalhes.Belliz iniciou suas atividades há mais de uma década, e com muito esforço e dedicação, firmaram como a maior empresa de acessórios de beleza e higiene pessoal do Brasil. Hoje o portifólio conta com 16 categorias diferentes."
Época Cosméticos,São Paulo,Sabonete Líquido Phebo Amazonian - 320ml,23.5,0.0,,Phebo,7896512937988,"O Sabonete Líquido Amazonian de Phebo é formulado com glicerina vegetal, e conta com uma fragrância única e marcante. Deixa a pele macia e perfumada. O Sabonete Líquido Amazonian tem fórmula biodegradável. Livre de parabenos e ingredientes de origem animal. Conteúdo 320ml. A linha Tradicional da Phebo contempla os clássicos da marca, como o sabonete Odor de Rosas, primeiro fabricado no Brasil a oferecer um padrão internacional de perfumação e qualidade, criado em 1930, junto com o nascimento da perfumaria. Os sabonetes tradicionais da linha são desenvolvidos com base vegetal e glicerina pura, oferecendo limpeza profunda sem agredir a pele, além de perfumar a pele por mais tempo.  Modo de usar: Aplique uma pequena quantidade do sabonete nas mãos ou pelo corpo. Enxágue em seguida.Sobre a marca: Nascida no coração da Amazônia, a Phebo é referência em perfumaria de luxo no Brasil desde 1930. Com criações ousadas, lançou o icônico sabonete Odor de Rosas e foi a primeira marca do país a trazer a Lavanda ao mercado nacional. A qualidade dos produtos e a originalidade de suas fragrâncias fizeram com que a marca conquistasse, ao longo dos anos, um lugar importante na memória olfativa de todos os brasileiros. Em 2004, a Phebo foi incorporada ao Grupo Granado e todos os seus produtos passaram a ser produzidos com base vegetal, além de firmar compromisso com a PEA de não realizar nenhum teste em animais. Esta tradição, aliada à qualidade e originalidade, alçou a Phebo ao topo das marcas de beleza mais respeitadas do mercado nacional, tornando-se sinônimo de luxo, glamour e moda."
Época Cosméticos,São Paulo,Manteiga Corporal Granado - Castanha do Brasil - 200g,67.5,0.0,,Granado,7896512914835,"A Manteiga Corporal Castanha do Brasil de Granado promove uma hidratação profunda para sua pele. Composta por manteigas de karité, cupuaçu e murumuru; óleo de castanha do Brasil e vitamina E. Enriquecida com alta concentração de extrato natural de castanha do Brasil, que tem ações antioxidante e hidratante. Sensorial aveludado e perfumação prolongada. Livre de parabenos, corantes e ingredientes de origem animal.Modo de Usar:Aplicar a manteiga corporal por todo o corpo para uma hidratação profunda. Indicado para todo tipo de pele.	Sobre a Marca:Pioneira na fabricação de sabonetes vegetais, a Granado | Phebo é responsável pela maior produção do Brasil, e atravessa seus mais de 100 anos de existência com uma definida posição em relação à preservação do meio ambiente: desenvolver cosméticos formulados com extratos naturais, livres de corantes e de fragrâncias artificiais. Nenhum produto Granado é testado em animais.A busca por produtos cada vez mais naturais é um dos desafios da Empresa. Por isso, a Granado | Phebo pretende continuar a crescer em parceria com a natureza e, acima de tudo, oferecer produtos de qualidade e com eficácia comprovada, a fim de promover bem-estar e equilíbrio entre o corpo e a mente."
Época Cosméticos,São Paulo,Phytoervas Ampolas Super Restauração Kit – 3 Ampolas Cupuaçu e Ucuuba,30.4,32.0,0.050000000000000044,Phytoervas,17896044955242,"O Kit Contém:3 Ampolas Super Restauração Phytoervas – 15ml cadaPhyto Ampola Super Restauração:Para a restauração dos fios, apresentamos a linha Super Restauração, desenvolvida com os ativos naturais cupuaçu e ucuúba, além de ômegas 3 e 6.Hidratante de longa duração, emoliente, regeneração, com Ômegas 3 e 6.Valorize a beleza natural.Você sabe o que é cosmética integral?A cosmética integral consiste na extração de ativos da natureza em sua forma mais pura, sem adição química. Isso é possível graças a procedimentos que preservam os nutrientes essenciais e ainda intensificam seus efeitos.Gostou? Então você precisa conhecer o Phytocomplex, um complexo de cereais integrais - linho, quinoa e trigo - que potencializa de forma eficaz a nutrição, a restauração e ainda age contra o envelhecimento dos fios (quando comparado a um extrato comum).Phytoervas Ampola Capilar Restauradora Super Restauração foi desenvolvido especialmente com Cupuaçu e Ucuúba, ativos naturais importantes que auxiliam no processo de restauração e fortalecimento dos fios. Enriquecido também com Ômega 3 e Ômega 6, que agem no regeneração e fortalecimento da fibra capilar e deixam os cabelos bonitos, hidratados e saudáveis.Modo de uso:Após lavar os cabelos com o Phytoervas Shampoo Super Restauração, retire o excesso de água com uma toalha.Aplique a Phytoervas Ampola Capilar Restauradora Super Restauração nos cabelos e massageie suavemente por toda a extensão dos fios, garantindo que todas as mechas recebam o produto. Deixar agir por apenas 3 minutos e em seguida enxágue em abundância. À sequência, aplique o Phytoervas Condicionador Super Restauração.Para um melhor resultado utilize também outros produtos da linha Phytoervas Super Restauração.Precauções:Uso Externo.Mantenha fora do alcance das crianças.Evite contato com os olhos, caso aconteça, enxágue com água em abundância.Indicação:Cabelos secos, ressecados e sem vida.Benefícios:Cabelos recuperados, com aspecto saudável, maleável e com brilho intenso.Benefícios:Sem sulfatos, corantes e parabenosReduz o frizz e restauraFórmula livre de ingredientes de origem animal.Produto não testado em animais."
