URL,Preço sem desconto,Preço com desconto
https://farmaciapermanente.com.br/dipirona-sadica-cafeina-65-mg-4-comprimidos-neo-quimica-generico,"6,43","5,99"
https://farmaciapermanente.com.br/sonridor-caf-analgesico-efervescente-para-alivio-da-febre-dor-e-enxaqueca-com-2-comprimidos,"8,78","7,99"
https://farmaciapermanente.com.br/tandrilax-ache-com-15-comprimidos,"17,37","16,68"
https://farmaciapermanente.com.br/analgesico-flanax-550mg-bayer-dores-intensas-com-10-comprimidos,"27,37","27,27"
https://farmaciapermanente.com.br/estomazil-laranja-sache-5g,,
https://farmaciapermanente.com.br/colirio-moura-brasilmoura-brasil,"20,23","17,99"
https://farmaciapermanente.com.br/flogoral-cereja-ache-12-pastilhas,"17,62","17,11"
https://farmaciapermanente.com.br/cloridrato-de-nebivolol-5mg-caixa-30-comp,,
https://farmaciapermanente.com.br/plasil-10mg-sanofi-caixa-20-comprimidos,"13,61","13,07"
https://farmaciapermanente.com.br/koide-d-025mg-5ml-2mg-5ml-caixa-120ml-xarope-copo-medida,"49,98","44,48"
https://farmaciapermanente.com.br/paracetamol-500-mg-10-comprimidos-prati-donaduzzi-generico,"8,53","6,99"
https://farmaciapermanente.com.br/orlistate-120mg-ems-caixa-84-capsulas,"409,03","158,99"
https://farmaciapermanente.com.br/luftal-gel-caps-simeticona-125mg-20-capsulas-gelatinosas,"53,33","44,99"
https://farmaciapermanente.com.br/resfenol-400mg-5caps,"6,22","4,99"
https://farmaciapermanente.com.br/lacto-purga-com-16-comprimidos,"12,57","11,99"
https://farmaciapermanente.com.br/pastilhas-para-garganta-ciflogex-diet-sabor-menta-12-pastilhas,"21,09","15,49"
https://farmaciapermanente.com.br/naproxeno-550-mg-com-10-comprimidos-neo-quimica-generico,"26,55","22,86"
https://farmaciapermanente.com.br/losartana-potsica-50-mg-30-comprimidos-neo-quimica-generico,"9,61","8,49"
https://farmaciapermanente.com.br/simeticona-125mg-com-10-capsulas,"27,45","13,49"
https://farmaciapermanente.com.br/dipirona-sodica-50mg-ml-50ml-solucao-oral-ems,"18,62","17,99"
https://farmaciapermanente.com.br/tiorfan-100mg-bago-caixa-9-capsulas,"54,31","50,51"
https://farmaciapermanente.com.br/novorapid-100u-ml-novo-nordisk-flexpen-caixa-3ml-solucao-injetavel,"62,82","55,28"
https://farmaciapermanente.com.br/tadalafila-20mg-ems-caixa-2-comprimidos-revestidos,,
